option,index
48,0
5,1
31,2
43,3
17,4
13,5
30,6
80,7
32,8
74,9
78,10
79,11
60,12
47,13
22,14
40,15
34,16
64,17
62,18
35,19
27,20
19,21
90,22
37,23
69,24
56,25
68,26
86,27
88,28
33,29
84,30
54,31
9,32
23,33
1,34
85,35
4,36
15,37
46,38
83,39
58,40
16,41
82,42
12,43
29,44
50,45
6,46
49,47
28,48
61,49
59,50
24,51
89,52
76,53
20,54
65,55
11,56
73,57
72,58
41,59
26,60
14,61
53,62
71,63
63,64
87,65
75,66
66,67
18,68
51,69
7,70
38,71
45,72
55,73
10,74
77,75
8,76
44,77
21,78
39,79
70,80
36,81
81,82
25,83
52,84
42,85
57,86
67,87
3,88
2,89
