option,index
20,0
71,1
52,2
72,3
48,4
38,5
41,6
56,7
1,8
24,9
82,10
12,11
40,12
36,13
21,14
85,15
35,16
4,17
83,18
61,19
90,20
6,21
31,22
81,23
47,24
37,25
5,26
23,27
53,28
28,29
2,30
29,31
8,32
59,33
13,34
68,35
75,36
50,37
10,38
15,39
79,40
34,41
30,42
7,43
63,44
87,45
65,46
74,47
44,48
19,49
64,50
49,51
51,52
11,53
77,54
45,55
16,56
89,57
25,58
76,59
27,60
42,61
32,62
26,63
88,64
84,65
58,66
57,67
78,68
33,69
39,70
73,71
3,72
14,73
70,74
67,75
22,76
62,77
55,78
66,79
18,80
86,81
80,82
9,83
69,84
54,85
17,86
43,87
46,88
60,89
